leftDeltaDistance,rightDeltaDistance,leftSpeed,rightSpeed,time,P,I,D
191,499.2,10,50,497.319292,-497.319292,497.319292,0
192,538.2,10,50,536.30781,-536.30781,536.30781,0
193,574.6,10,50,572.695552,-572.695552,572.695552,0
194,517.4,10,50,515.484514,-515.484514,515.484514,0
195,496.6,10,50,494.67392,-494.67392,494.67392,0
196,481,10,50,479.063659,-479.063659,479.063659,0
197,455,10,50,453.053952,-453.053952,453.053952,0
198,514.8,10,50,512.84297,-512.84297,512.84297,0
199,377,10,50,375.034927,-375.034927,375.034927,0
200,358.8,10,50,356.827273,-356.827273,356.827273,0
201,330.2,10,50,328.220228,-328.220228,328.220228,0
202,275.6,10,50,273.614349,-273.614349,273.614349,0
203,241.8,10,50,239.80919,-239.80919,239.80919,0
204,291.2,10,50,289.202978,-289.202978,289.202978,0
205,301.6,10,50,299.596544,-299.596544,299.596544,0
206,210.6,10,50,208.592051,-208.592051,208.592051,0
207,192.4,10,50,190.387947,209.612053,590.387947,0
208,98.8,10,50,96.785839,303.214161,496.785839,0
209,75.4,10,50,73.38423,326.61577,473.38423,0
210,135.2,10,50,133.181346,266.818654,533.181346,0
211,96.2,10,50,94.179294,305.820706,494.179294,0
212,83.2,10,50,81.177519,318.822481,481.177519,0
213,28.6,10,50,26.576909,373.423091,426.576909,0
214,111.8,10,50,109.774524,290.225476,509.774524,0
215,114.4,10,50,112.372083,287.627917,512.372083,0
216,49.4,10,50,47.371029,352.628971,447.371029,0
217,85.8,10,50,83.769199,316.230801,483.769199,0
218,41.6,10,50,39.568311,360.431689,439.568311,0
219,101.4,10,50,99.366148,300.633852,499.366148,0
220,117,10,50,114.963652,285.036348,514.963652,0
221,132.6,10,50,130.560823,269.439177,530.560823,0
222,80.6,10,50,78.559104,321.440896,478.559104,0
223,96.2,10,50,94.157052,305.842948,494.157052,0
224,132.6,10,50,130.554223,269.445777,530.554223,0
225,91,10,50,88.952282,311.047718,488.952282,0
226,59.8,10,50,57.751006,342.248994,457.751006,0
227,44.2,10,50,42.150063,357.849937,442.150063,0
228,75.4,10,50,73.348454,326.651546,473.348454,0
229,78,10,50,75.94679,324.05321,475.94679,0
230,20.8,10,50,18.746347,381.253653,418.746347,0
231,117,10,50,114.943851,285.056149,514.943851,0
232,93.6,10,50,91.541854,308.458146,491.541854,0
233,70.2,10,50,68.140356,331.859644,468.140356,0
234,104,10,50,101.938138,298.061862,501.938138,0
235,98.8,10,50,96.73603,303.26397,496.73603,0
236,104,10,50,101.933811,298.066189,501.933811,0
237,83.2,10,50,81.132036,318.867964,481.132036,0
238,70.2,10,50,68.130539,331.869461,468.130539,0
239,127.4,10,50,125.327821,274.672179,525.327821,0
240,44.2,10,50,42.126878,357.873122,442.126878,0
241,57.2,10,50,55.125658,344.874342,455.125658,0
242,52,10,50,49.924548,350.075452,449.924548,0
243,46.8,10,50,44.72355,355.27645,444.72355,0
244,101.4,10,50,99.321387,300.678613,499.321387,0
245,26,10,50,23.920832,376.079168,423.920832,0
246,101.4,10,50,99.318669,300.681331,499.318669,0
247,57.2,10,50,55.117449,344.882551,455.117449,0
248,67.6,10,50,65.516006,334.483994,465.516006,0
249,101.4,10,50,99.313843,300.686157,499.313843,0
250,130,10,50,127.91107,272.08893,527.91107,0
251,93.6,10,50,91.509073,308.490927,491.509073,0
252,93.6,10,50,91.507076,308.492924,491.507076,0
253,54.6,10,50,52.505911,347.494089,452.505911,0
254,85.8,10,50,83.704081,316.295919,483.704081,0
255,101.4,10,50,99.301918,300.698082,499.301918,0
256,59.8,10,50,57.700642,342.299358,457.700642,0
257,70.2,10,50,68.099145,331.900855,468.099145,0
258,145.6,10,50,143.496038,256.503962,543.496038,0
259,83.2,10,50,81.094263,318.905737,481.094263,0
260,98.8,10,50,96.692156,303.307844,496.692156,0
261,106.6,10,50,104.489882,295.510118,504.489882,0
262,75.4,10,50,73.288273,326.711727,473.288273,0
263,104,10,50,101.886054,298.113946,501.886054,0
264,122.2,10,50,120.083447,279.916553,520.083447,0
265,132.6,10,50,130.480619,269.519381,530.480619,0
266,135.2,10,50,133.077734,266.922266,533.077734,0
267,127.4,10,50,125.275017,274.724983,525.275017,0
268,122.2,10,50,120.07241,279.92759,520.07241,0
269,143,10,50,140.869359,259.130641,540.869359,0
270,148.2,10,50,146.066197,253.933803,546.066197,0
271,314.6,10,50,312.459486,-312.459486,312.459486,0
272,343.2,10,50,341.052164,-341.052164,341.052164,0
273,340.6,10,50,338.444898,-338.444898,338.444898,0
274,330.2,10,50,328.037854,-328.037854,328.037854,0
275,247,10,50,244.832585,-244.832585,244.832585,0
276,301.6,10,50,299.42615,-299.42615,299.42615,0
277,348.4,10,50,346.218718,-346.218718,346.218718,0
278,280.8,10,50,278.612727,-278.612727,278.612727,0
279,286,10,50,283.806626,-283.806626,283.806626,0
280,265.2,10,50,263.000969,-263.000969,263.000969,0
281,148.2,10,50,145.997807,254.002193,545.997807,0
282,335.4,10,50,333.190652,-333.190652,333.190652,0
283,236.6,10,50,234.385604,-234.385604,234.385604,0
284,241.8,10,50,239.580446,-239.580446,239.580446,0
285,241.8,10,50,239.575287,-239.575287,239.575287,0
286,231.4,10,50,229.170351,-229.170351,229.170351,0
287,189.8,10,50,187.566302,212.433698,587.566302,0
288,319.8,10,50,317.559479,-317.559479,317.559479,0
289,187.2,10,50,184.955486,215.044514,584.955486,0
290,239.2,10,50,236.950383,-236.950383,236.950383,0
291,223.6,10,50,221.345613,-221.345613,221.345613,0
292,169,10,50,166.742007,233.257993,566.742007,0
293,163.8,10,50,161.538513,238.461487,561.538513,0
294,208,10,50,205.734076,-205.734076,205.734076,0
295,158.6,10,50,156.330692,243.669308,556.330692,0
296,200.2,10,50,197.926421,202.073579,597.926421,0
297,156,10,50,153.723093,246.276907,553.723093,0
298,195,10,50,192.718933,207.281067,592.718933,0
299,153.4,10,50,151.115661,248.884339,551.115661,0
300,145.6,10,50,143.312555,256.687445,543.312555,0
301,135.2,10,50,132.90967,267.09033,532.90967,0
302,101.4,10,50,99.107507,300.892493,499.107507,0
303,182,10,50,179.703625,220.296375,579.703625,0
304,137.8,10,50,135.500685,264.499315,535.500685,0
305,109.2,10,50,106.898355,293.101645,506.898355,0
306,104,10,50,101.696137,298.303863,501.696137,0
307,117,10,50,114.693641,285.306359,514.693641,0
308,132.6,10,50,130.290812,269.709188,530.290812,0
309,70.2,10,50,67.889314,332.110686,467.889314,0
310,85.8,10,50,83.487484,316.512516,483.487484,0
311,109.2,10,50,106.885154,293.114846,506.885154,0
312,109.2,10,50,106.882825,293.117175,506.882825,0
313,52,10,50,49.681715,350.318285,449.681715,0
314,83.2,10,50,80.87994,319.12006,480.87994,0
315,111.8,10,50,109.477555,290.522445,509.477555,0
316,62.4,10,50,60.076224,339.923776,460.076224,0
317,122.2,10,50,119.873617,280.126383,519.873617,0
318,221,10,50,218.668902,-218.668902,218.668902,0
319,317.2,10,50,314.862135,-314.862135,314.862135,0
320,221,10,50,218.657421,-218.657421,218.657421,0
321,223.6,10,50,221.252651,-221.252651,221.252651,0
322,239.2,10,50,236.847548,-236.847548,236.847548,0
323,195,10,50,192.643388,207.356612,592.643388,0
324,205.4,10,50,203.039006,-203.039006,203.039006,0
325,208,10,50,205.634569,-205.634569,205.634569,0
326,371.8,10,50,369.426637,-369.426637,369.426637,0
327,364,10,50,361.618871,-361.618871,361.618871,0
328,361.4,10,50,359.011162,-359.011162,359.011162,0
329,405.6,10,50,403.202509,-403.202509,403.202509,0
330,343.2,10,50,340.795187,-340.795187,340.795187,0
331,447.2,10,50,444.785647,-444.785647,444.785647,0
332,241.8,10,50,239.380489,-239.380489,239.380489,0
333,335.4,10,50,332.973333,-332.973333,332.973333,0
334,299,10,50,296.566955,-296.566955,296.566955,0
335,267.8,10,50,265.361242,-265.361242,265.361242,0
