line,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,
85,40,40,44,44,40,44,40,40,44,36,44,44,44,44,44,44,44,44,48,44,44,40,48,48,40,44,44,48,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,44,44,44,48,52,52,56,48,85,89,109,109,117,113,121,125,117,117,117,121,121,117,113,121,121,125,129,125,117,133,129,129,133,133,137,142,146,146,150,150,150,150,158,158,154,158,158,158,162,158,154,162,166,158,162,158,158,154,158,158,158,158,158,158,154,158,150,150,150,150,146,150,146,146,133,141,142,150,150,142,137,138,138,138,138,142,142,142,138,137,133,129,125,125,133,129,129,125,125,121,125,117,113,117,113,113,109,109,113,113,109,105,105,97,
86,44,44,44,40,36,40,40,40,44,44,44,44,44,44,48,44,44,44,48,44,48,44,44,44,44,48,44,52,44,52,44,48,48,48,52,48,48,44,48,44,48,48,48,48,48,44,44,48,44,48,52,52,56,48,146,191,190,203,207,138,109,113,117,117,113,113,109,113,109,113,117,121,121,121,121,125,121,125,121,125,125,134,134,142,142,146,146,150,146,158,158,158,158,158,158,162,154,150,162,162,154,158,158,154,158,158,154,162,154,162,158,158,154,146,146,150,150,150,146,142,142,142,142,146,150,146,137,133,133,142,138,138,133,137,141,137,138,129,129,125,125,125,121,117,125,117,121,121,121,117,117,113,109,109,109,105,101,105,101,97,
87,40,40,40,44,44,44,44,40,40,44,44,40,40,44,44,44,44,44,48,44,40,44,48,48,48,44,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,60,48,251,231,223,219,231,235,239,219,154,105,109,105,109,113,109,113,109,105,113,113,105,113,109,113,113,117,117,125,125,129,129,138,141,142,146,150,134,154,150,150,154,150,150,158,158,158,154,154,158,150,154,154,154,158,154,154,154,154,150,146,150,150,146,142,146,146,150,142,142,146,150,142,137,137,125,129,133,137,133,133,133,133,129,125,129,125,121,125,121,113,121,121,117,117,117,113,113,117,105,97,105,109,105,93,101,97,
88,40,40,40,36,40,44,44,40,44,40,44,44,40,44,44,44,44,44,44,48,44,44,44,48,48,44,44,48,48,48,48,48,48,48,44,48,48,48,48,52,48,48,48,48,48,48,48,48,52,48,57,60,61,60,255,243,243,239,251,247,243,247,251,255,243,154,105,121,113,109,105,109,109,105,105,105,101,105,105,109,109,113,121,121,121,125,125,133,137,138,138,138,146,142,146,154,150,154,150,150,154,154,158,158,158,146,146,150,150,146,154,154,142,150,150,146,146,150,150,146,142,146,142,142,138,138,138,133,133,125,129,129,129,129,129,129,129,129,125,121,125,121,113,117,121,117,121,121,117,113,113,101,105,97,105,101,101,101,97,97,
89,40,40,40,40,40,44,44,44,44,44,40,40,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,48,48,44,44,48,44,44,48,48,48,48,48,48,44,44,52,48,48,48,48,44,52,52,61,89,251,243,247,251,251,251,255,255,255,255,255,255,255,255,255,166,118,113,109,105,109,101,101,97,89,93,97,97,101,105,109,101,117,121,121,125,121,133,133,133,125,142,142,146,142,142,150,150,154,154,150,154,150,150,146,162,150,150,146,142,142,146,146,138,146,146,146,146,142,133,137,137,141,137,133,129,129,125,129,121,129,129,129,129,125,121,121,121,121,117,121,113,113,117,117,113,113,113,109,105,101,101,101,97,97,97,97,
90,40,44,40,40,40,40,40,40,44,40,36,44,40,44,36,44,44,52,44,44,44,44,44,44,48,44,44,44,44,48,48,44,44,48,48,48,48,48,44,48,48,52,48,48,48,48,44,48,48,52,60,154,223,227,239,247,251,255,255,255,255,255,255,255,255,255,255,255,255,251,251,207,117,105,105,97,97,101,93,93,93,89,89,93,93,93,101,105,109,109,125,125,125,134,130,134,134,129,138,142,133,137,142,146,146,146,146,146,146,142,150,142,142,142,138,138,134,141,129,138,137,134,137,133,133,133,129,129,129,129,129,125,125,129,125,125,121,121,121,121,117,121,113,109,117,113,109,113,109,109,109,109,105,101,101,97,97,97,93,93,
91,36,36,40,40,44,40,40,40,44,44,40,40,40,40,40,44,40,40,36,44,40,48,44,44,44,44,40,36,40,44,44,44,44,48,44,44,40,44,44,48,44,44,44,44,40,44,44,44,48,52,174,203,203,219,231,239,243,243,251,251,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,199,101,93,85,93,89,89,81,77,81,85,93,93,93,93,105,113,117,117,113,121,117,133,138,134,138,133,142,142,142,133,142,138,138,142,142,142,138,142,133,134,129,129,137,133,133,142,133,133,134,125,125,125,125,129,129,125,125,121,117,121,121,121,121,117,117,113,113,117,113,113,109,109,105,105,105,101,101,97,93,93,97,97,93,89,
92,36,36,36,36,40,36,36,40,36,40,40,40,40,40,40,40,40,40,40,40,40,40,36,40,40,40,40,40,44,40,44,44,40,40,44,44,40,40,36,40,44,44,44,40,44,44,40,44,44,158,158,182,182,219,223,219,227,223,243,235,239,243,251,255,247,255,255,251,255,255,255,251,251,255,251,243,247,251,255,235,150,77,77,89,81,77,77,81,81,85,81,97,105,105,113,105,117,117,121,117,121,125,129,138,133,137,129,129,133,133,129,134,133,137,138,138,129,125,129,133,133,129,129,137,133,129,125,121,121,117,125,121,113,121,117,117,117,117,113,113,109,109,109,105,109,109,105,101,105,101,101,101,101,93,89,97,93,93,93,89,
93,36,36,36,40,36,40,40,40,36,40,40,40,40,40,36,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,40,36,40,44,44,36,44,40,40,44,40,44,44,44,44,44,77,109,129,150,166,162,174,182,190,199,207,207,215,223,219,235,223,239,227,227,247,235,243,247,239,235,239,239,239,243,227,227,235,231,231,223,243,203,117,93,69,69,73,69,77,73,77,93,93,101,109,113,113,113,121,129,125,125,121,129,125,129,125,125,129,125,129,138,125,121,121,117,125,129,125,129,125,121,125,121,117,121,121,117,117,117,125,113,113,113,113,109,105,109,105,105,109,105,105,105,101,101,101,97,97,97,93,93,85,85,89,89,89,
94,40,44,48,44,36,44,40,44,40,40,28,40,44,44,40,44,48,52,40,44,44,36,44,44,44,48,40,44,48,40,48,40,48,48,48,48,44,40,52,44,44,40,48,52,52,52,73,81,101,109,130,142,158,158,158,162,166,166,174,174,174,170,182,174,178,182,186,186,190,186,186,194,199,199,194,198,195,198,194,194,194,194,198,190,186,190,186,186,190,178,101,65,65,61,65,65,69,89,93,97,101,105,117,113,113,113,113,113,117,121,121,113,121,117,121,125,117,117,121,121,121,117,121,121,121,117,121,121,113,117,113,113,109,105,117,109,109,113,105,105,97,101,101,105,101,93,101,97,97,97,89,93,89,85,89,89,85,81,85,85,
