line,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,
21,232,224,224,224,224,232,232,232,232,224,232,232,240,232,232,232,232,232,232,232,240,232,232,232,232,232,232,240,232,232,232,232,232,232,240,232,240,240,232,240,232,232,240,232,240,240,232,240,240,232,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,232,240,240,240,232,240,240,240,240,240,240,240,232,240,200,176,160,144,136,136,144,160,136,104,56,48,48,56,96,112,88,64,48,48,48,88,56,40,40,48,56,80,88,88,96,96,104,96,96,80,64,72,64,56,56,64,64,
22,232,224,224,232,232,224,232,240,232,224,232,232,232,232,240,232,232,232,232,232,240,240,232,232,224,232,232,232,232,232,240,232,240,240,232,240,232,232,232,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,248,192,192,168,152,128,128,144,152,160,128,72,56,48,56,88,96,112,88,56,48,48,56,80,48,32,40,48,64,104,104,104,96,104,104,96,96,56,64,64,56,48,56,64,72,
23,232,224,224,224,224,232,224,224,224,232,232,232,224,232,232,232,232,232,232,232,232,240,232,232,232,232,232,232,232,232,232,232,232,232,240,240,232,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,240,232,240,248,240,240,240,248,184,184,160,160,144,128,128,136,160,152,104,64,48,48,64,88,112,120,64,56,48,56,56,88,48,40,40,48,72,104,112,104,104,120,112,112,96,72,72,72,56,56,56,64,64,
24,232,224,224,232,232,232,232,224,232,232,232,224,232,224,224,232,232,232,232,240,232,232,240,232,232,232,232,232,232,240,232,232,240,240,240,240,240,240,232,232,240,232,232,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,192,168,192,136,152,128,128,136,152,152,120,64,64,56,56,72,104,112,104,72,56,56,56,72,88,40,48,48,48,72,112,112,112,120,120,120,112,72,72,72,72,56,64,72,72,64,
25,224,224,224,232,232,240,232,232,232,232,224,232,232,232,232,232,232,240,232,232,240,232,232,232,232,232,232,232,232,240,232,240,232,240,232,240,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,200,184,152,168,128,144,136,128,144,152,160,96,72,56,56,64,96,120,112,96,72,56,56,64,72,96,56,48,48,64,96,120,128,120,128,128,128,112,72,72,80,56,64,64,64,80,72,
26,224,224,232,224,224,232,240,232,232,232,232,232,232,232,232,240,240,232,232,240,240,232,232,232,232,232,232,232,240,240,240,240,232,232,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,208,208,160,136,144,128,136,128,136,136,160,144,80,64,56,64,80,104,104,112,96,64,56,64,72,88,104,72,48,56,56,88,120,120,128,128,120,128,104,72,80,64,64,64,72,72,72,80,
27,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,232,232,232,232,232,232,240,232,240,240,240,240,240,232,240,240,232,240,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,232,240,232,232,248,192,200,192,136,152,128,120,144,128,128,152,152,120,88,64,64,64,104,120,128,120,88,56,64,72,72,88,104,72,48,56,80,88,120,128,128,128,120,128,80,80,80,64,64,64,72,72,80,72,
28,224,224,232,232,232,232,232,232,232,232,232,232,232,232,224,232,232,232,232,240,240,240,240,232,232,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,224,176,184,176,128,144,120,120,128,128,136,152,160,96,72,64,72,88,112,120,120,112,80,64,64,80,88,96,112,88,48,56,64,88,128,128,136,128,128,112,72,88,80,64,64,72,72,80,72,72,
29,232,232,232,232,232,232,232,232,232,232,232,240,232,232,232,232,232,232,232,240,240,240,240,240,240,232,240,232,240,240,232,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,224,184,168,160,152,120,136,120,136,120,120,136,144,144,104,88,72,72,104,112,120,128,136,88,64,72,80,88,112,120,104,56,56,72,88,120,128,136,136,112,104,88,88,80,72,64,72,80,72,80,72,
30,224,232,224,232,232,232,232,232,232,232,232,232,232,240,232,232,232,232,232,232,240,240,232,232,232,232,232,240,240,240,240,240,240,232,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,240,240,248,240,240,240,240,240,248,248,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,176,184,160,160,160,128,128,120,128,128,128,136,144,136,96,80,80,88,112,120,112,128,136,72,72,80,80,80,104,112,104,56,64,72,88,120,128,128,136,128,88,88,88,80,72,72,80,80,88,88,88,
31,232,224,224,232,232,232,232,232,240,240,240,240,232,240,232,232,232,240,232,232,240,232,240,232,232,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,248,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,160,160,136,152,160,112,128,112,120,128,136,128,160,128,104,88,88,88,112,120,120,120,128,104,72,64,88,88,104,112,120,88,56,72,88,104,120,120,128,112,88,88,88,72,72,72,72,80,88,80,80,
32,232,232,232,232,240,232,232,232,232,232,232,232,240,232,232,232,240,232,240,240,240,232,240,240,240,240,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,248,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,248,240,240,240,240,240,240,240,248,208,144,160,136,144,152,104,120,104,112,128,128,136,152,136,104,88,88,104,120,120,120,128,120,88,72,64,80,88,104,120,112,88,64,72,88,88,112,120,104,96,88,96,88,72,72,72,72,88,88,88,72,
